Button          ; Sample
Power           ; 0,1,2
Play            ; 3,4,5
Clock/Timer     ; 6,7,8
Dimmer          ; 9,10,11
AutoOff         ; 12,13,14
Sleep           ; 15,16,17
1               ; 18,19,20
2               ; 21,22,23
3               ; 24,25,26
4               ; 27,28,29
5               ; 30,31,32
6               ; 33,34,35
7               ; 36,37,38
8               ; 39,40,41
9               ; 42,43,44
0               ; 45,46,47
>=10            ; 48,49,50
Del             ; 51,52,53
Vol+            ; 54,55,56
Vol-            ; 57,58,59
Mute            ; 60,61,62
Program         ; 63,64,65
Repeat          ; 66,67,68
Play Mode       ; 69,70,71
USB             ; 72,73,74
CD              ; 75,76,77
Music Port      ; 78,79,80
<<              ; 81,82,83
FM/AM           ; 84,85,86
>>              ; 87,88,89
Square(pause)   ; 90,91,92
Re-Master       ; 93,94,95
D-Bass          ; 96,97,98
Bass            ; 99,100,101
Preset EQ       ; 102,103,104
Treble          ; 105,106,107
up              ; 108,109,110
down            ; 111,112,113
left            ; 114,115,116
right           ; 117,118,119
ok              ; 120,121,122
Display         ; 123,124,125
Surround        ; 126,127,128
Auto Preset     ; 129,130,131
Tune Mode       ; 132,133,134
FM Mode         ; 135,136,137
Input Level     ; 138,139,140
